Rank,Player,Pos,Team,Bye,PosRank,PosTier,Tier,ECR,VBD,Upside,Bust,Risk,Depth,Backfield,Spread,Ranked,Rookie,Availability,Injury
1,Ja'Marr Chase,WR,CIN,6,WR1,1,1,1.55,216,0.6,2.5,tight,1,,0.92,yes,,,Questionable
2,Jahmyr Gibbs,RB,DET,6,RB1,1,1,2.63,239,1.6,4.4,tight,1,bellcow,1.4,yes,,,
3,Puka Nacua,WR,LAR,11,WR2,1,1,3.36,175,2.4,5.6,tight,1,,1.43,yes,,,Questionable
4,Bijan Robinson,RB,ATL,11,RB2,1,1,3.92,197,2.9,3.1,tight,1,bellcow,1.5,yes,,,
5,Jaxon Smith-Njigba,WR,SEA,11,WR3,2,1,4.67,150,3.7,4.3,tight,1,,1.39,yes,,,
6,Amon-Ra St. Brown,WR,DET,6,WR4,2,1,5.45,128,2.5,3.6,tight,1,,1.22,yes,,,
7,CeeDee Lamb,WR,DAL,14,WR5,3,2,8.9,115,4.9,7.1,tight,1,,1.99,yes,,,
8,Justin Jefferson,WR,MIN,6,WR6,3,2,9.36,100,5.4,10.6,tight,1,,2.55,yes,,,
9,Christian McCaffrey,RB,SF,8,RB3,2,2,9.78,189,4.8,21.2,tight,1,sole RB,4.93,yes,,,Questionable
10,Jonathan Taylor,RB,IND,13,RB4,2,2,11.68,183,4.7,21.3,tight,1,sole RB,5.16,yes,,,
11,Drake London,WR,ATL,11,WR7,4,2,12.59,85,4.6,13.4,tight,1,,3.47,yes,,,
12,A.J. Brown,WR,NE,11,WR8,4,2,13.89,74,5.9,21.1,tight,1,,4.65,yes,,,
13,Nico Collins,WR,HOU,8,WR9,5,3,15.91,68,4.9,12.1,tight,1,,3.48,yes,,,
14,James Cook,RB,BUF,7,RB5,2,3,16.58,151,9.6,17.4,tight,1,bellcow,6.78,yes,,,
15,Chase Brown,RB,CIN,6,RB6,3,3,18.06,138,10.1,20.9,tight,1,sole RB,6.11,yes,,,
16,Brock Bowers,TE,LV,13,TE1,1,3,18.09,153,8.1,38.9,tight,1,,4.97,yes,,,
