name,pos,adp
Jahmyr Gibbs,RB,1.5
Bijan Robinson,RB,2.2
Puka Nacua,WR,3.1
Ja'Marr Chase,WR,3.8
Jaxon Smith-Njigba,WR,5.5
Amon-Ra St. Brown,WR,6.4
Christian McCaffrey,RB,6.6
Jonathan Taylor,RB,7.5
Drake London,WR,10.2
De'Von Achane,RB,10.6
CeeDee Lamb,WR,10.7
Justin Jefferson,WR,11.7
James Cook III,RB,12.6
Chase Brown,RB,13.4
Rashee Rice,WR,14.9
Derrick Henry,RB,17.4
A.J. Brown,WR,17.6
Ashton Jeanty,RB,17.6
Saquon Barkley,RB,19.3
Chris Olave,WR,19.8
Nico Collins,WR,20.4
George Pickens,WR,20.7
Kenneth Walker,RB,21.6
Omarion Hampton,RB,23.3
Garrett Wilson,WR,25.6
Zay Flowers,WR,25.9
Malik Nabers,WR,26.8
Jeremiyah Love,RB,27.8
Trey McBride,TE,28.9
DeVonta Smith,WR,29.5
Josh Jacobs,RB,31.1
Tetairoa McMillan,WR,31.5
Kyren Williams,RB,32
Josh Allen,QB,33.7
Breece Hall,RB,34.7
Emeka Egbuka,WR,34.8
Brock Bowers,TE,35
Tee Higgins,WR,36.6
Javonte Williams,RB,37
Ladd McConkey,WR,37.7
Travis Etienne Jr.,RB,38.7
Cam Skattebo,RB,38.8
Davante Adams,WR,42
Jameson Williams,WR,44.5
Bucky Irving,RB,45.2
Jaylen Waddle,WR,45.2
D'Andre Swift,RB,45.8
Terry McLaurin,WR,47.4
DJ Moore,WR,47.8
Quinshon Judkins,RB,50.8
Drake Maye,QB,51.2
Bhayshul Tuten,RB,52.9
Rome Odunze,WR,53.9
Mike Evans,WR,54.5
Luther Burden III,WR,56.2
Colston Loveland,TE,56.5
Lamar Jackson,QB,56.6
Joe Burrow,QB,57.2
David Montgomery,RB,58.2
Christian Watson,WR,58.9
Jaylen Warren,RB,59
Courtland Sutton,WR,60.2
TreVeyon Henderson,RB,63
Parker Washington,WR,64.1
DK Metcalf,WR,64.4
Rhamondre Stevenson,RB,64.9
Dak Prescott,QB,65.1
Tyler Warren,TE,65.2
Marvin Harrison Jr.,WR,65.3
Alec Pierce,WR,68.7
Tony Pollard,RB,70.3
Jayden Daniels,QB,71.9
Brian Thomas Jr.,WR,72.7
Michael Pittman Jr.,WR,74.7
Rico Dowdle,RB,75.2
Jadarian Price,RB,75.2
Kyle Pitts Sr.,TE,75.3
Michael Wilson,WR,76.3
Matthew Stafford,QB,77.1
Harold Fannin Jr.,TE,77.5
Carnell Tate,WR,78.4
Jalen Hurts,QB,78.4
Chris Godwin Jr.,WR,79.3
Chuba Hubbard,RB,81.2
Seattle Defense,DEF,81.7
Jakobi Meyers,WR,86.5
Wan'Dale Robinson,WR,86.7
Denver Defense,DEF,86.8
Brock Purdy,QB,87.2
Josh Downs,WR,87.7
J.K. Dobbins,RB,87.7
Caleb Williams,QB,90.2
Trevor Lawrence,QB,91.4
Stefon Diggs,WR,91.5
RJ Harvey,RB,92.3
Kenny Gainwell,RB,92.3
Jayden Reed,WR,93.8
Jonathon Brooks,RB,94.6
Quentin Johnston,WR,97.4
Jordan Addison,WR,97.4
Houston Defense,DEF,97.8
Tucker Kraft,TE,98.1
Jared Goff,QB,100.6
Patrick Mahomes,QB,102.2
Khalil Shakir,WR,102.4
Travis Kelce,TE,104
Aaron Jones Sr.,RB,104.3
Justin Herbert,QB,105.2
Xavier Worthy,WR,105.3
Dallas Goedert,TE,105.9
Matthew Golden,WR,106.6
Deebo Samuel Sr.,WR,107.3
LA Rams Defense,DEF,107.7
George Kittle,TE,109.8
Minnesota Defense,DEF,110.4
Kyle Monangai,RB,110.8
Bo Nix,QB,111.5
Romeo Doubs,WR,113.2
San Francisco Defense,DEF,113.5
Rachaad White,RB,113.5
Sam LaPorta,TE,113.8
Jacory Croskey-Merritt,RB,115.2
Makai Lemon,WR,115.9
Jordan Mason,RB,116.6
Jaxson Dart,QB,116.9
KC Concepcion,WR,121
Jalen Coker,WR,121.6
Blake Corum,RB,122.5
Jerry Jeudy,WR,127.1
Mark Andrews,TE,128.4
New England Defense,DEF,128.5
Rashid Shaheed,WR,128.5
Detroit Defense,DEF,129.2
Baker Mayfield,QB,129.9
Jake Ferguson,TE,131
Tyjae Spears,RB,131.3
Tre Tucker,WR,132
Keenan Allen,WR,132.1
Jayden Higgins,WR,132.5
De'Zhaun Stribling,WR,132.8
Kyler Murray,QB,134
Zach Charbonnet,RB,134.2
Pittsburgh Defense,DEF,134.4
Jalen McMillan,WR,134.8
Tyler Shough,QB,135.1
Isaiah Likely,TE,136.3
Philadelphia Defense,DEF,137.9
Denzel Boston,WR,138
LA Chargers Defense,DEF,140.1
Woody Marks,RB,140.2
Sam Darnold,QB,143.4
Chimere Dike,WR,144.3
Calvin Ridley,WR,144.8
Mike Washington Jr.,RB,145.8
Juwan Johnson,TE,147
Jordan Love,QB,147
