rank,name,pos,team,adp_ppr
1,Jahmyr Gibbs,RB,DET,1.3
2,Bijan Robinson,RB,ATL,2.2
3,Ja'Marr Chase,WR,CIN,3.6
4,Puka Nacua,WR,LAR,4.1
5,Christian McCaffrey,RB,SF,5.2
6,Jaxon Smith-Njigba,WR,SEA,6.6
7,Jonathan Taylor,RB,IND,7.2
8,CeeDee Lamb,WR,DAL,8.2
9,Amon-Ra St. Brown,WR,DET,8.9
10,James Cook,RB,BUF,10.8
11,Justin Jefferson,WR,MIN,11
12,De'Von Achane,RB,MIA,12.8
13,Saquon Barkley,RB,PHI,13.4
14,Ashton Jeanty,RB,LV,14.1
15,Omarion Hampton,RB,LAC,15.4
16,Chase Brown,RB,CIN,16.1
17,Drake London,WR,ATL,17.3
18,A.J. Brown,WR,NE,17.5
19,Kenneth Walker,RB,KC,19.3
20,Derrick Henry,RB,BAL,20.9
21,Trey McBride,TE,ARI,21
22,Josh Allen,QB,BUF,22.1
23,Brock Bowers,TE,LV,23
24,George Pickens,WR,DAL,24.7
25,Nico Collins,WR,HOU,25.4
26,Jeremiyah Love,RB,ARI,26.9
27,Rashee Rice,WR,KC,26.9
28,Malik Nabers,WR,NYG,28.2
29,Kyren Williams,RB,LAR,29.2
30,Chris Olave,WR,NO,30.8
31,Josh Jacobs,RB,GB,31.4
32,Lamar Jackson,QB,BAL,32.8
33,Breece Hall,RB,NYJ,33.9
34,Tee Higgins,WR,CIN,34
35,DeVonta Smith,WR,PHI,35.3
36,Javonte Williams,RB,DAL,35.5
37,Tetairoa McMillan,WR,CAR,37.5
38,Ladd McConkey,WR,LAC,38.3
39,Emeka Egbuka,WR,TB,39.7
40,Colston Loveland,TE,CHI,40.9
41,Bucky Irving,RB,TB,41.6
42,Zay Flowers,WR,BAL,42
43,Cam Skattebo,RB,NYG,43.8
44,Garrett Wilson,WR,NYJ,44.6
45,Travis Etienne,RB,NO,44.9
46,Jaylen Waddle,WR,DEN,46.6
47,Tyler Warren,TE,IND,47.2
48,Drake Maye,QB,NE,48.3
49,David Montgomery,RB,HOU,49.3
50,Davante Adams,WR,LAR,50.5
51,Joe Burrow,QB,CIN,51.6
52,Luther Burden,WR,CHI,52.7
53,TreVeyon Henderson,RB,NE,53.2
54,Quinshon Judkins,RB,CLE,53.6
55,D'Andre Swift,RB,CHI,55.1
56,Terry McLaurin,WR,WAS,56.1
57,DJ Moore,WR,BUF,57.1
58,Jameson Williams,WR,DET,58.5
59,Sam LaPorta,TE,DET,59
60,Jalen Hurts,QB,PHI,60.6
61,Mike Evans,WR,SF,61.4
62,Bhayshul Tuten,RB,JAX,62.2
63,Tucker Kraft,TE,GB,62.8
64,Jayden Daniels,QB,WAS,64.9
65,Rome Odunze,WR,CHI,65.1
66,Carnell Tate,WR,TEN,66.9
67,Jadarian Price,RB,SEA,67.5
68,Harold Fannin,TE,CLE,68.7
69,Kyle Pitts,TE,ATL,69.1
70,Christian Watson,WR,GB,70.9
71,Jaylen Warren,RB,PIT,71.8
72,Caleb Williams,QB,CHI,71.9
73,Brian Thomas,WR,JAX,73.9
74,DK Metcalf,WR,PIT,74.9
75,Marvin Harrison,WR,ARI,75.3
76,Parker Washington,WR,JAX,76
77,Chuba Hubbard,RB,CAR,77.6
78,Dak Prescott,QB,DAL,78.4
79,RJ Harvey,RB,DEN,79.5
80,Courtland Sutton,WR,DEN,80
81,Rhamondre Stevenson,RB,NE,80.6
82,Justin Herbert,QB,LAC,82.8
83,Michael Wilson,WR,ARI,83.6
84,Tony Pollard,RB,TEN,84.3
